station,longtidue,latitude
18-02-CS01,-121.6473388671875,38.33262062072754
18-02-SBM02,-122.04032897949219,38.06553522745768
18-02-SBM04,-121.96850967407227,38.06782531738281
18-03-HB01,-121.88857460021973,38.04781246185303
18-03-SM02,-122.05870056152344,38.133384704589844
18-03-SSC02,-121.62344169616699,38.38728046417236
18-04-LSJ03,-121.84247970581055,38.04911994934082
18-04-LSR05,NA,NA
18-04-SBM02,-122.05474472045898,38.110965728759766
18-04-SBM05,-122.04107666015625,38.08253860473633
18-04-SSC02,-121.61899948120117,38.39557075500488
18-05-LSR02,-121.84501266479492,38.0675048828125
18-05-SBM02,-122.01657104492188,38.06616020202637
18-06-LSR01,-121.87394714355469,38.05587463378906
18-06-SBM01,-122.00524648030598,38.063140869140625
18-06-SBM02,-122.06863212585449,38.09748554229736
18-07-HB01,-121.95839182535808,38.055859883626304
18-07-SBM01,-122.04732894897461,38.06014442443848
18-07-SBM02,-122.05794525146484,38.09499168395996
18-07-SBM03,-122.01763916015625,38.0719051361084
18-08-LSR01,-121.8525390625,38.06784629821777
18-08-LSR02,-121.86914443969727,38.05472946166992
18-08-SBM01,-122.0545145670573,38.09691619873047
18-08-SM01,-122.04330444335938,38.165626525878906
18-09-LSR01,-121.87721252441406,38.05631446838379
18-09-SBM01,-121.98421859741211,38.07178020477295
18-09-SBM02,-121.99900817871094,38.06057834625244
18-10-LSR06,-121.86654917399089,38.06312561035156
18-11-LSR01,-121.77211380004883,38.07602500915527
18-11-LSR02,-121.82940165201823,38.066802978515625
18-11-SM01,-121.96311696370442,38.17335001627604
18-12-SM01,-122.0076961517334,38.17802429199219
18-13-HB01,-121.89918772379558,38.048919677734375
18-13-LSR01,-121.84517669677734,38.06997489929199
18-14-SM01,-121.94746208190918,38.17364978790283
18-15-LSR02,-121.78771514892578,38.063150024414064
18-17-LSR01,-121.83230972290039,38.07038688659668
18-18-HB01,-121.92031351725261,38.044752756754555
18-18-SBM02,-121.99708811442058,38.08303960164388
18-18-SM01,-121.96983083089192,38.186022440592446
18-49-CF01,-121.9029312133789,38.04563522338867
18-49-LSSC03,-121.61927541097005,38.39557011922201
18-50-LSSC01,-121.60638936360677,38.424521128336586
18-51-CF02,-121.85817082722981,38.06363868713379
18-51-HB01,-121.93885040283203,38.054922103881836
18-51-LSSC01,-121.59616470336914,38.445974349975586
18-51-LSSC04,-121.6075833638509,38.42158444722494
18-52-LSSC02,-121.60716247558594,38.42289066314697
18-52-LSSC03,-121.65440368652344,38.30247497558594
18-52-LSSC05,-121.60847473144531,38.419485092163086
19-01-LSSC01,-121.58576965332031,38.46915626525879
19-01-USSC03,-121.58445358276367,38.487606048583984
19-02-LSSC02,-121.62507883707683,38.38444264729818
19-03-LSR01,-121.82159042358398,38.06764030456543
19-03-LSSC01,-121.63105010986328,38.37018585205078
19-03-SM03,-122.0604019165039,38.1725549697876
19-03-SM05,-122.0428237915039,38.16640853881836
19-04-GB01,-122.05757904052734,38.1092643737793
19-04-LSR01,-121.81909942626953,38.06636428833008
19-04-LSR03,-121.8167495727539,38.06355667114258
19-04-LSSC03,-121.61812973022461,38.39949035644531
19-04-LSSC05,-121.6415901184082,38.34852981567383
19-04-SM01,-121.99979019165039,38.18028450012207
19-05-LSSC05,-121.64712524414062,38.33261489868164
19-06-GB01,-122.06564712524414,38.09992027282715
19-06-SM04,-122.05548350016277,38.18487040201823
19-07-LSSC02,-121.63805389404297,38.356319427490234
19-07-LSSC06,-121.6290512084961,38.37410100301107
19-08-LSR02,-121.8316650390625,38.069108963012695
19-08-LSSC03,-121.64245986938477,38.34667491912842
19-09-LSR02,-121.83718617757161,38.070334116617836
19-09-LSSC02,-121.62060546875,38.39395523071289
19-09-LSSC05,-121.63351821899414,38.366180419921875
19-10-LSSC01,-121.62253952026367,38.390214920043945
19-11-LSR01,-121.80895614624023,38.05891990661621
19-11-LSSC03,-121.61348215738933,38.40896987915039
19-11-LSSC06,-121.60467020670573,38.427747090657554
19-12-LSSC03,-121.59091186523438,38.45693016052246
19-12-LSSC04,-121.62451934814453,38.385719299316406
19-14-LSR02,-121.74374961853027,38.08883285522461
19-14-LSR03,-121.81619262695312,38.06559753417969
19-14-LSSC03,-121.58567428588867,38.469295501708984
19-14-LSSC06,-121.61063766479492,38.41587448120117
19-14-USSC01,-121.58479499816895,38.48437786102295
19-15-LSSC01,-121.59904479980469,38.44048500061035
19-15-SM01,-122.01165390014648,38.17633056640625
19-15-SM04,-122.03985595703125,38.193410873413086
19-17-LSSC02,-121.59452056884766,38.45010757446289
19-18-LSR03,-121.80670928955078,38.06282997131348
19-18-SM02,-122.0341567993164,38.20978037516276
19-36-DI04,NA,NA
19-39-SC01,NA,NA
19-39-SC02,NA,NA
19-39-SC03,NA,NA
19-39-SC05,NA,NA
19-39-SL05,NA,NA
19-41-SC02,NA,NA
19-41-SC03,NA,NA
19-41-SC04,NA,NA
19-41-SC06,NA,NA
19-42-DI03,NA,NA
19-42-GBSM01,NA,NA
19-43-SC01,NA,NA
19-43-SC02,NA,NA
19-43-SC03,NA,NA
19-43-SC04,NA,NA
19-43-SC05,NA,NA
19-44-GBSM25,NA,NA
19-44-GBSM42,NA,NA
19-45-LSSC05,-121.65080642700195,38.321720123291016
19-49-LSSC01,-121.63710021972656,38.35747528076172
19-49-LSSC02,-121.64849853515625,38.33049964904785
19-49-LSSC03,-121.58771896362305,38.46504020690918
19-49-SBM02,-121.97312927246094,38.07292175292969
19-49-SM01,-121.89933204650879,38.124165534973145
19-49-SM02,-121.92344665527344,38.18193531036377
19-50-CS05,-121.67605972290039,38.247323989868164
19-50-LSSC02,-121.62974166870117,38.374250411987305
19-50-LSSC03,-121.65190505981445,38.31340408325195
19-50-LSSC05,-121.63261795043945,38.36758041381836
19-50-SBM01,-122.02569580078125,38.09823989868164
19-50-SM03,-122.04720306396484,38.16138458251953
19-51-HB01,-121.95639419555664,38.049665451049805
19-51-LSR02,-121.80759811401367,38.06282615661621
19-51-LSR03,-121.77079963684082,38.07521438598633
19-51-LSSC02,-121.5855712890625,38.46887493133545
19-51-SBM01,-122.05508422851562,38.09356117248535
19-51-SBW02,-122.11230087280273,38.06108093261719
19-52-LSR01,-121.838623046875,38.070220947265625
19-52-LSSC02,-121.59115219116211,38.45663070678711
19-52-LSSC03,-121.62594604492188,38.38259506225586
19-53-GB01,-122.05741500854492,38.10904121398926
19-53-LSSC01,-121.65825843811035,38.28846454620361
19-53-LSSC02,-121.61034393310547,38.41574478149414
19-53-LSSC04,-121.66783650716145,38.25276438395182
19-53-LSSC05,-121.599365234375,38.43844032287598
19-53-SBM03,-122.0093765258789,38.091840744018555
19-53-SBW01,-122.11262130737305,38.06317138671875
20-02-LSSC02,-121.64725748697917,38.33369700113932
20-02-SM03,-122.0574951171875,38.13681411743164
20-03-HB01,-121.95109176635742,38.057504653930664
20-03-LSSC02,-121.61201095581055,38.41235542297363
20-03-SM06,-122.08245277404785,38.130621910095215
20-04-HB01,-121.96856307983398,38.051069259643555
20-04-LSSC02,-121.6117935180664,38.41152381896973
20-07-LSSC01,-121.6134033203125,38.408424377441406
20-07-LSSC03,-121.63990020751953,38.35187021891276
20-07-SBM01,-121.97496795654297,38.07019519805908
20-08-CF01,-121.87307357788086,38.0499153137207
20-11-LSR03,-121.81827290852864,38.06548055013021
20-12-LSSC01,-121.63865852355957,38.353960037231445
20-13-CF01,-121.92760467529297,38.04854393005371
20-13-HB01,-121.95448112487793,38.06068229675293
20-14-LSR01,-121.81713676452637,38.06439685821533
20-14-LSSC05,-121.60262870788574,38.43187999725342
20-37-USSC04,-121.58419799804688,38.5329647064209
20-38-USSC02,-121.57835006713867,38.552534103393555
20-39-LSSC05,-121.62823486328125,38.37553405761719
20-39-USSC01,-121.58380508422852,38.48309326171875
20-42-LSSC01,-121.6096305847168,38.41597366333008
20-42-LSSC04,-121.60144805908203,38.43329429626465
20-43-LSSC02,-121.64969253540039,38.31960487365723
20-43-LSSC05,-121.63603973388672,38.358320236206055
20-43-LSSC06,-121.64629364013672,38.33537483215332
20-43-LSSC08,-121.61355972290039,38.407325744628906
20-45-LSSC03,-121.63522338867188,38.360944747924805
20-45-SM07,-122.06084823608398,38.14206123352051
20-49-CF01,-121.84145736694336,38.0707950592041
20-49-LSSC05,-121.64649200439453,38.33516883850098
20-50-LSR01,-121.74895477294922,38.086652755737305
20-50-LSSC01,-121.65804862976074,38.287925720214844
20-50-LSSC02,-121.63420867919922,38.363800048828125
20-50-LSSC05,-121.64010238647461,38.350894927978516
20-50-RV02,-121.72005653381348,38.10468578338623
20-51-LSSC02,-121.6061274210612,38.42395528157552
20-52-GB01,-122.04990768432617,38.10652160644531
21-02-LSR03,-121.78386116027832,38.06714725494385
21-02-LSSC05,-121.65096092224121,38.31817436218262
21-03-GB01,-122.0447769165039,38.108280181884766
21-03-LSSC01,-121.62052536010742,38.39402961730957
21-03-LSSC05,-121.65386199951172,38.30732536315918
21-09-SM03,-122.04062843322754,38.16827869415283
340,-122.26469802856445,38.10027027130127
405,-122.15178934733073,38.03771464029948
411,-122.07603963216145,38.05423100789388
412,-122.06006622314453,38.06462097167969
413,-122.04730224609375,38.065948486328125
416,-122.09414672851562,38.0702018737793
417,-122.08300018310547,38.08074951171875
418,-122.08769989013672,38.07537841796875
501,-122.0186653137207,38.073930740356445
502,-122.00396728515625,38.05997085571289
504,-121.99150276184082,38.05673694610596
505,-121.95597076416016,38.05712890625
507,NA,NA
508,-121.91698201497395,38.046932220458984
509,-121.90412139892578,38.04547119140625
510,NA,NA
511,NA,NA
512,NA,NA
513,-121.86805725097656,38.05878829956055
515,NA,NA
516,NA,NA
517,NA,NA
518,NA,NA
519,-121.95500946044922,38.07361094156901
520,-121.8662109375,38.03248596191406
601,-122.03559875488281,38.10309982299805
602,-122.04347229003906,38.11579386393229
603,-122.04804992675781,38.11552047729492
605,-122.05738067626953,38.148529052734375
606,-122.02511596679688,38.16995112101237
609,-121.93684641520183,38.16732915242513
610,-121.88915252685547,38.120500564575195
701,NA,NA
703,NA,NA
704,-121.78150431315105,38.0688730875651
705,NA,NA
706,-121.74704488118489,38.08719253540039
707,-121.70777638753255,38.114054361979164
711,-121.6659444173177,38.177391052246094
712,-121.64008712768555,38.19094467163086
713,-121.66040547688802,38.20664087931315
715,-121.67432403564453,38.22436332702637
716,-121.68732452392578,38.24617385864258
719,-121.64745330810547,38.33372243245443
721,-121.70292663574219,38.26829719543457
795,NA,NA
796,NA,NA
797,NA,NA
801,-121.84550094604492,38.049652099609375
802,-121.78457260131836,38.02805519104004
804,-121.79566192626953,38.019240061442055
806,-121.76170349121094,38.02872085571289
807,NA,NA
