"DOPLogNumber","Project","Year","SurveyDate","Station","Species","GutContents"
192,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
193,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
194,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
195,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
196,"EDSM",2018,11/7/2018 0:00:00,"19-15-SM01","Delta Smelt","y"
197,"EDSM",2018,11/8/2018 0:00:00,"19-15-SM04","Delta Smelt","y"
198,"EDSM",2018,11/26/2018 0:00:00,"19-18-SM02","Delta Smelt","y"
199,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
200,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
201,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
202,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
203,"EDSM",2018,10/29/2018 0:00:00,"19-14-LSR03","Delta Smelt","y"
204,"EDSM",2018,10/30/2018 0:00:00,"19-14-LSR02","Delta Smelt","y"
205,"EDSM",2018,11/29/2018 0:00:00,"19-18-LSR03","Delta Smelt","y"
206,"EDSM",2018,11/29/2018 0:00:00,"19-18-LSR03","Delta Smelt","y"
207,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
208,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
209,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
210,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
211,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
212,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
213,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
214,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
215,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
216,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
217,"EDSM",2018,10/31/2018 0:00:00,"19-14-LSSC03","Delta Smelt","y"
218,"EDSM",2018,10/31/2018 0:00:00,"19-14-USSC01","Delta Smelt","y"
219,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
220,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
221,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
222,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
223,"EDSM",2018,11/7/2018 0:00:00,"19-15-LSSC01","Delta Smelt","y"
224,"EDSM",2018,11/7/2018 0:00:00,"19-15-LSSC01","Delta Smelt","y"
225,"EDSM",2018,11/21/2018 0:00:00,"19-17-LSSC02","Delta Smelt","y"
226,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
227,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
228,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
229,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
230,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","Y"
231,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
232,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
233,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
234,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
235,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
236,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
237,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
238,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
239,"EDSM",2018,9/24/2018 0:00:00,"19-09-LSR02","Delta Smelt","y"
240,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
241,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
242,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
243,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
245,"EDSM",2019,8/21/2019 0:00:00,"20-04-HB01","Delta Smelt","Y"
247,"EDSM",2019,8/19/2019 0:00:00,"20-04-LSSC02","Delta Smelt","y"
249,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","y"
250,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
251,"EDSM",2019,8/13/2019 0:00:00,"20-03-HB01","Delta Smelt","y"
252,"EDSM",2019,8/16/2019 0:00:00,"20-03-SM06","Delta Smelt","y"
253,"EDSM",2019,7/25/2019 0:00:00,"19-52-LSSC02","Delta Smelt","Y"
254,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
255,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
256,"EDSM",2019,8/6/2019 0:00:00,"20-02-SM03","Delta Smelt","y"
257,"EDSM",2019,8/8/2019 0:00:00,"20-02-LSSC02","Delta Smelt","y"
258,"EDSM",2019,7/30/2019 0:00:00,"19-53-LSSC04","Delta Smelt","y"
259,"EDSM",2019,7/30/2019 0:00:00,"19-53-SBM03","Delta Smelt","y"
260,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC02","Delta Smelt","Y"
261,"EDSM",2019,7/5/2019 0:00:00,"19-49-SBM02","Delta Smelt","Y"
262,"EDSM",2019,7/15/2019 0:00:00,"19-51-HB01","Delta Smelt","y"
263,"EDSM",2019,7/15/2019 0:00:00,"19-51-SBM01","Delta Smelt","y"
264,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR02","Delta Smelt","y"
265,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR02","Delta Smelt","y"
266,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR03","Delta Smelt","y"
267,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSR01","Delta Smelt","y"
268,"EDSM",2019,7/3/2019 0:00:00,"19-49-SM01","Delta Smelt","y"
270,"EDSM",2019,7/9/2019 0:00:00,"19-50-SM03","Delta Smelt","y"
271,"EDSM",2019,7/10/2019 0:00:00,"19-50-SBM01","Delta Smelt","Y"
274,"EDSM",2019,7/30/2019 0:00:00,"19-53-SBM03","Delta Smelt","y"
275,"EDSM",2019,7/31/2019 0:00:00,"19-53-GB01","Delta Smelt","y"
276,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC03","Delta Smelt","y"
277,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC03","Delta Smelt","y"
278,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
281,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
282,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
286,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
287,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
288,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
289,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
291,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","Y"
292,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
295,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
298,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","Y"
301,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
305,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
306,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
307,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
308,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
309,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
310,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
311,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
312,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
313,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
314,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC02","Delta Smelt","y"
315,"EDSM",2019,7/10/2019 0:00:00,"19-50-CS05","Delta Smelt","y"
316,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
317,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
318,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
319,"EDSM",2019,7/25/2019 0:00:00,"19-52-LSSC02","Delta Smelt","y"
320,"EDSM",2019,7/25/2019 0:00:00,"19-52-LSSC02","Delta Smelt","y"
321,"EDSM",2019,7/25/2019 0:00:00,"19-52-LSSC02","Delta Smelt","y"
322,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
323,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
324,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
325,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSSC03","Delta Smelt","y"
326,"EDSM",2019,7/15/2019 0:00:00,"19-51-LSSC02","Delta Smelt","y"
327,"EDSM",2019,7/9/2019 0:00:00,"19-50-LSSC05","Delta Smelt","y"
328,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC03","Delta Smelt","y"
329,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC03","Delta Smelt","y"
330,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC03","Delta Smelt","y"
331,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC03","Delta Smelt","y"
332,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
333,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
334,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
335,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
336,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
337,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","y"
338,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC02","Delta Smelt","y"
339,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC02","Delta Smelt","y"
340,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC02","Delta Smelt","y"
341,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC01","Delta Smelt","y"
342,"EDSM",2019,9/13/2019 0:00:00,"20-07-SBM01","Delta Smelt","Y"
343,"EDSM",2019,9/17/2019 0:00:00,"20-08-CF01","Delta Smelt","Y"
344,"EDSM",2019,9/17/2019 0:00:00,"20-08-CF01","Delta Smelt","Y"
345,"EDSM",2019,10/7/2019 0:00:00,"20-11-LSR03","Delta Smelt","Y"
346,"EDSM",2019,10/23/2019 0:00:00,"20-13-CF01","Delta Smelt","Y"
347,"EDSM",2019,10/28/2019 0:00:00,"20-14-LSR01","Delta Smelt","Y"
348,"EDSM",2019,10/22/2019 0:00:00,"20-13-HB01","Delta Smelt","Y"
349,"EDSM",2019,7/8/2019 0:00:00,"19-50-LSSC02","Delta Smelt","Y"
351,"EDSM",2019,7/30/2019 0:00:00,"19-53-LSSC05","Delta Smelt","Y"
352,"EDSM",2019,9/9/2019 0:00:00,"20-07-LSSC01","Delta Smelt","Y"
353,"EDSM",2019,9/10/2019 0:00:00,"20-07-LSSC03","Delta Smelt","Y"
354,"EDSM",2019,10/29/2019 0:00:00,"20-14-LSSC05","Delta Smelt","Y"
355,"EDSM",2019,10/15/2019 0:00:00,"20-12-LSSC01","Delta Smelt","Y"
356,"ELS",2019,5/14/2019 0:00:00,"19-42-GBSM01","Delta Smelt","Y"
357,"ELS",2019,5/7/2019 0:00:00,"19-41-SC02","Delta Smelt","Y"
358,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
359,"ELS",2019,5/7/2019 0:00:00,"19-41-SC03","Delta Smelt","Y"
360,"ELS",2019,4/23/2019 0:00:00,"19-39-SC01","Delta Smelt","Y"
361,"ELS",2019,5/7/2019 0:00:00,"19-41-SC04","Delta Smelt","Y"
362,"ELS",2019,4/25/2019 0:00:00,"19-39-SL05","Delta Smelt","Y"
364,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","Y"
365,"ELS",2019,4/23/2019 0:00:00,"19-39-SC01","Delta Smelt","Y"
366,"ELS",2019,4/23/2019 0:00:00,"19-39-SC03","Delta Smelt","y"
367,"ELS",2019,4/23/2019 0:00:00,"19-39-SC03","Delta Smelt","y"
369,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","y"
370,"ELS",2019,5/21/2019 0:00:00,"19-43-SC04","Delta Smelt","y"
371,"ELS",2019,5/7/2019 0:00:00,"19-41-SC03","Delta Smelt","y"
372,"ELS",2019,4/23/2019 0:00:00,"19-39-SC01","Delta Smelt","y"
373,"ELS",2019,4/23/2019 0:00:00,"19-39-SC02","Delta Smelt","y"
374,"ELS",2019,4/23/2019 0:00:00,"19-39-SC03","Delta Smelt","y"
375,"ELS",2019,4/23/2019 0:00:00,"19-39-SC01","Delta Smelt","y"
376,"ELS",2019,4/4/2019 0:00:00,"19-36-DI04","Delta Smelt","y"
378,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","y"
379,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","y"
380,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","y"
383,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","y"
384,"ELS",2019,5/21/2019 0:00:00,"19-43-SC02","Delta Smelt","y"
385,"ELS",2019,5/7/2019 0:00:00,"19-41-SC04","Delta Smelt","y"
386,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","y"
387,"ELS",2019,5/21/2019 0:00:00,"19-43-SC02","Delta Smelt","y"
389,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","y"
390,"ELS",2019,5/21/2019 0:00:00,"19-43-SC02","Delta Smelt","Y"
391,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","Y"
392,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
393,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
394,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
395,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","Y"
396,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","Y"
397,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","Y"
398,"ELS",2019,5/21/2019 0:00:00,"19-43-SC01","Delta Smelt","Y"
399,"ELS",2019,5/21/2019 0:00:00,"19-43-SC05","Delta Smelt","Y"
400,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
402,"ELS",2019,5/7/2019 0:00:00,"19-41-SC06","Delta Smelt","Y"
403,"ELS",2019,6/5/2019 0:00:00,"19-45-LSSC05","Delta Smelt","Y"
404,"EDSM",2020,4/15/2020 0:00:00,"20-38-USSC02","Delta Smelt","Y"
405,"EDSM",2020,5/11/2020 0:00:00,"20-42-LSSC01","Delta Smelt","Y"
406,"EDSM",2020,5/11/2020 0:00:00,"20-42-LSSC04","Delta Smelt","Y"
407,"EDSM",2020,5/19/2020 0:00:00,"20-43-LSSC02","Delta Smelt","Y"
408,"EDSM",2020,5/19/2020 0:00:00,"20-43-LSSC08","Delta Smelt","Y"
409,"EDSM",2020,5/20/2020 0:00:00,"20-43-LSSC05","Delta Smelt","Y"
410,"EDSM",2020,5/22/2020 0:00:00,"20-43-LSSC05","Delta Smelt","Y"
411,"EDSM",2020,5/24/2020 0:00:00,"20-43-LSSC06","Delta Smelt","Y"
412,"EDSM",2020,6/2/2020 0:00:00,"20-45-LSSC03","Delta Smelt","Y"
413,"ELS",2019,4/23/2019 0:00:00,"19-39-SC01","Delta Smelt","Y"
414,"ELS",2019,4/23/2019 0:00:00,"19-39-SC05","Delta Smelt","Y"
415,"ELS",2019,5/30/2019 0:00:00,"19-44-GBSM42","Delta Smelt","Y"
416,"ELS",2019,5/21/2019 0:00:00,"19-43-SC03","Delta Smelt","Y"
417,"EDSM",2020,4/9/2020 0:00:00,"20-37-USSC04","Delta Smelt","Y"
418,"EDSM",2020,4/20/2020 0:00:00,"20-39-USSC01","Delta Smelt","Y"
419,"EDSM",2020,4/21/2020 0:00:00,"20-39-LSSC05","Delta Smelt","Y"
420,"EDSM",2020,8/6/2020 0:00:00,"21-02-LSR03","Delta Smelt","y"
421,"EDSM",2020,7/8/2020 0:00:00,"20-50-LSR01","Delta Smelt","y"
422,"EDSM",2020,7/8/2020 0:00:00,"20-50-LSR01","Delta Smelt","y"
423,"EDSM",2020,7/8/2020 0:00:00,"20-50-LSR01","Delta Smelt","y"
424,"EDSM",2020,7/9/2020 0:00:00,"20-50-RV02","Delta Smelt","y"
425,"EDSM",2020,7/2/2020 0:00:00,"20-49-LSSC05","Delta Smelt","y"
426,"EDSM",2020,7/6/2020 0:00:00,"20-50-LSSC01","Delta Smelt","y"
427,"EDSM",2020,7/6/2020 0:00:00,"20-50-LSSC02","Delta Smelt","y"
428,"EDSM",2020,7/7/2020 0:00:00,"20-50-LSSC05","Delta Smelt","y"
430,"EDSM",2020,8/5/2020 0:00:00,"21-02-LSSC05","Delta Smelt","y"
431,"EDSM",2020,8/12/2020 0:00:00,"21-03-LSSC01","Delta Smelt","y"
432,"EDSM",2020,8/13/2020 0:00:00,"21-03-LSSC05","Delta Smelt","y"
433,"EDSM",2019,7/3/2019 0:00:00,"19-49-SM02","Delta Smelt","y"
434,"EDSM",2019,7/3/2019 0:00:00,"19-49-SM02","Delta Smelt","y"
435,"EDSM",2020,7/1/2020 0:00:00,"20-49-CF01","Delta Smelt","y"
436,"EDSM",2020,7/1/2020 0:00:00,"20-49-CF01","Delta Smelt","y"
437,"EDSM",2020,7/21/2020 0:00:00,"20-52-GB01","Delta Smelt","y"
438,"EDSM",2020,7/8/2020 0:00:00,"20-50-LSR01","Delta Smelt","y"
441,"EDSM",2020,8/11/2020 0:00:00,"21-03-GB01","Delta Smelt","y"
442,"EDSM",2020,6/2/2020 0:00:00,"20-45-SM07","Delta Smelt","y"
443,"EDSM",2020,9/23/2020 0:00:00,"21-09-SM03","Delta Smelt","Y"
